package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.nexters.bandalart.android.core.ui.component.BandalartButton,BandalartButton,1,1,1,0,0,0,0,0,1,1,
com.nexters.bandalart.android.core.ui.component.BandalartDeleteAlertDialog,BandalartDeleteAlertDialog,1,1,1,0,0,0,0,0,1,3,
com.nexters.bandalart.android.core.ui.component.BandalartDropDownMenu,BandalartDropDownMenu,1,1,1,0,0,0,0,0,1,3,
com.nexters.bandalart.android.core.ui.component.CellText,CellText,1,1,1,0,0,0,1,0,2,4,
com.nexters.bandalart.android.core.ui.component.FixedSizeText,FixedSizeText,1,1,1,0,0,0,0,0,1,4,
com.nexters.bandalart.android.core.ui.component.LoadingScreen,LoadingScreen,1,1,1,0,0,0,0,0,1,1,
com.nexters.bandalart.android.core.ui.component.NetworkErrorAlertDialog,NetworkErrorAlertDialog,1,1,1,0,0,0,0,0,1,2,
com.nexters.bandalart.android.core.ui.component.TitleText,TitleText,1,1,1,0,0,0,0,0,1,3,
com.nexters.bandalart.android.core.ui.component.bottomsheet.BottomSheetDeleteButton,BottomSheetDeleteButton,1,1,1,0,0,0,0,0,1,1,
com.nexters.bandalart.android.core.ui.component.bottomsheet.BottomSheetCompleteButton,BottomSheetCompleteButton,1,1,1,0,0,0,0,0,1,1,
com.nexters.bandalart.android.core.ui.component.bottomsheet.BottomSheetDivider,BottomSheetDivider,1,1,1,0,0,0,0,0,1,1,
com.nexters.bandalart.android.core.ui.component.bottomsheet.BottomSheetTitleText,BottomSheetTitleText,1,1,1,0,0,0,0,0,1,1,
com.nexters.bandalart.android.core.ui.component.bottomsheet.BottomSheetSubTitleText,BottomSheetSubTitleText,1,1,1,0,0,0,0,0,1,1,
com.nexters.bandalart.android.core.ui.component.bottomsheet.BottomSheetContentPlaceholder,BottomSheetContentPlaceholder,1,1,1,0,0,0,0,0,1,1,
com.nexters.bandalart.android.core.ui.component.bottomsheet.BottomSheetContentText,BottomSheetContentText,1,1,1,0,0,0,0,0,1,1,
com.nexters.bandalart.android.core.ui.component.bottomsheet.BottomSheetButtonText,BottomSheetButtonText,1,1,1,0,0,0,0,0,1,1,
com.nexters.bandalart.android.core.ui.component.bottomsheet.BottomSheetTextStyle,BottomSheetTextStyle,1,0,0,0,0,0,0,0,1,3,
com.nexters.bandalart.android.core.ui.component.bottomsheet.BottomSheetTopBar,BottomSheetTopBar,1,0,1,0,0,0,0,0,1,1,
